# Ground-truth interval labels for data/raw_video/5.mp4. Aaron, 2026-08-12.
# NEW VENUE: 1906x1080 @ 30.000 fps, vs bouts 1-4 at 1920x1080 @ 29.97. This is the
# first footage that tests the hand-calibrated framing constants rather than the model.
#
# TWO-TRACK schema (footwork + blade). 9.6 min source, densely labelled: every phrase
# from en-garde through the touch, with the between-phrase `walk` marked too.
#
# `arm ext` -> `extension`, `walk` -> `walking`. `extension` is not one of the six
# model classes, so evaluate_labels.py collapses those rows to the FOOTWORK label
# rather than dropping them as unscorable.
#
# Transcribed by scripts/transcribe_bout5.py -- see its docstring for the three
# source anomalies (one duplicated phrase, one backwards timestamp, two 0.233 s
# intervals) and how each was resolved.
fencer,start,end,footwork,blade
left,309.800,310.600,retreat,parry
right,309.800,310.600,lunge,extension
left,311.367,315.150,advance,none
right,311.367,315.150,retreat,none
left,315.150,316.117,advance,parry
right,315.150,316.117,advance,extension
left,316.951,318.833,walking,none
right,316.951,318.833,walking,none
left,327.466,333.200,walking,none
right,327.466,333.200,walking,none
left,333.200,334.850,neutral,none
right,333.200,334.850,neutral,none
left,334.850,335.917,advance,none
right,334.850,335.917,advance,none
left,335.917,337.150,advance,none
right,335.917,337.150,retreat,none
left,337.150,337.917,lunge,extension
right,337.150,337.917,retreat,parry
left,337.917,345.600,retreat,none
right,337.917,345.600,advance,none
left,345.600,346.267,advance,extension
right,345.600,346.267,advance,extension
left,346.267,348.300,walking,none
right,346.267,348.300,walking,none
left,357.000,362.050,walking,none
right,357.000,362.050,walking,none
left,375.550,381.550,neutral,none
right,375.550,381.550,neutral,none
left,381.550,382.784,advance,none
right,381.550,382.784,advance,none
left,382.784,383.017,advance,none
right,382.784,383.017,retreat,none
left,383.017,383.884,lunge,extension
right,383.017,383.884,retreat,none
left,383.884,388.700,retreat,none
right,383.884,388.700,advance,none
left,388.700,389.223,retreat,extension
right,388.700,389.223,neutral,none
left,389.223,390.950,walking,none
right,389.223,390.950,walking,none
left,399.800,401.300,neutral,none
right,399.800,401.300,neutral,none
left,401.300,402.367,advance,none
right,401.300,402.367,advance,none
left,402.367,405.200,retreat,none
right,402.367,405.200,advance,none
left,405.200,405.900,retreat,parry
right,405.200,405.900,advance,extension
left,405.900,408.433,walking,none
right,405.900,408.433,walking,none
left,411.833,414.466,neutral,none
right,411.833,414.466,neutral,none
left,414.466,415.166,advance,none
right,414.466,415.166,advance,none
left,415.166,415.699,advance,extension
right,415.166,415.699,advance,extension
left,415.699,420.250,walking,none
right,415.699,420.250,walking,none
left,428.300,431.100,neutral,none
right,428.300,431.100,neutral,none
left,431.100,432.034,advance,none
right,431.100,432.034,advance,none
left,432.034,432.968,lunge,extension
right,432.034,432.968,neutral,none
left,441.083,443.183,neutral,none
right,441.083,443.183,neutral,none
left,443.183,444.350,advance,none
right,443.183,444.350,advance,none
left,444.350,447.500,retreat,none
right,444.350,447.500,advance,none
left,447.500,448.567,retreat,parry
right,447.500,448.567,advance,extension
left,448.567,450.566,walking,none
right,448.567,450.566,walking,none
left,458.250,461.150,neutral,none
right,458.250,461.150,neutral,none
left,461.150,462.117,advance,none
right,461.150,462.117,advance,none
left,462.117,462.717,advance,extension
right,462.117,462.717,advance,none
left,462.717,463.417,neutral,extension
right,462.717,463.417,retreat,extension
left,463.417,465.383,walking,none
right,463.417,465.383,walking,none
left,469.750,473.850,neutral,none
right,469.750,473.850,walking,none
left,473.850,475.800,neutral,none
right,473.850,475.800,neutral,none
left,475.800,476.033,advance,none
right,475.800,476.033,advance,none
left,476.033,476.633,lunge,extension
right,476.033,476.633,retreat,parry
left,476.633,484.733,retreat,none
right,476.633,484.733,advance,none
left,484.733,485.633,lunge,extension
right,484.733,485.633,lunge,extension
left,485.633,489.350,walking,none
right,485.633,489.350,walking,none
left,503.350,508.350,walking,none
right,503.350,508.350,walking,none
left,509.900,518.100,walking,none
right,509.900,518.100,walking,none
left,518.100,522.550,neutral,none
right,518.100,522.550,neutral,none
left,522.550,523.489,advance,none
right,522.550,523.489,advance,none
left,523.489,524.223,lunge,extension
right,523.489,524.223,retreat,extension
left,524.223,525.833,walking,none
right,524.223,525.833,walking,none
left,533.800,538.100,neutral,none
right,533.800,538.100,neutral,none
left,538.100,539.534,advance,none
right,538.100,539.534,advance,none
left,539.534,542.300,retreat,none
right,539.534,542.300,advance,none
left,542.300,543.234,advance,parry
right,542.300,543.234,advance,extension
left,543.234,546.200,walking,none
right,543.234,546.200,walking,none
left,550.200,553.500,neutral,none
right,550.200,553.500,neutral,none
left,553.500,554.434,advance,none
right,553.500,554.434,advance,none
left,554.434,555.134,advance,none
right,554.434,555.134,advance,none
left,555.134,557.050,walking,none
right,555.134,557.050,walking,none
