# Ground-truth interval labels for data/raw_video/7.mp4. Aaron, 2026-08-15.
# THIRD VENUE: 1280x718 @ 60 fps, vs 1920x1080 @ ~30 for bouts 1-5.
# 60 fps is a pipeline hazard: WINDOW_LONG=60 frames is 2 s at 30 fps but
# 1 s here. Resample to 30 fps before extraction.
# Two-track schema; `walk` -> walking, `arm ext` -> extension.
fencer,start,end,footwork,blade
right,229.390,231.316,neutral,none
left,232.150,242.426,advance,none
right,232.150,242.426,retreat,none
left,243.794,245.028,lunge,extension
right,243.794,245.028,lunge,none
left,245.028,248.500,walking,none
right,245.028,248.500,walking,none
left,269.220,270.020,advance,none
right,269.220,270.020,advance,none
left,270.020,273.590,walking,none
right,270.020,273.590,walking,none
left,282.057,286.229,retreat,none
right,282.057,286.229,advance,none
left,286.229,286.829,advance,extension
right,286.229,286.829,advance,none
left,288.140,289.574,advance,none
right,288.140,289.574,retreat,extension
left,293.805,297.396,retreat,none
right,293.805,297.396,advance,none
left,297.396,298.463,retreat,none
right,297.396,298.463,lunge,extension
left,299.597,304.406,advance,none
right,299.597,304.406,retreat,none
left,304.406,305.573,lunge,extension
right,304.406,305.573,retreat,parry
left,305.573,308.910,walking,none
right,305.573,308.910,walking,none
left,316.333,318.080,neutral,none
right,316.333,318.080,neutral,none
left,318.580,319.380,lunge,extension
right,318.580,319.380,retreat,parry
left,320.180,322.953,retreat,none
right,320.180,322.953,advance,none
left,322.953,323.987,retreat,parry
right,322.953,323.987,lunge,extension
left,323.987,326.280,advance,none
right,323.987,326.280,retreat,none
left,326.280,326.680,neutral,parry
right,326.280,326.680,lunge,extension
left,326.680,327.547,lunge,extension
right,326.680,327.547,retreat,parry
left,328.214,332.943,retreat,none
right,328.214,332.943,advance,none
left,332.943,333.543,retreat,parry
right,332.943,333.543,neutral,extension
left,333.776,334.810,lunge,extension
right,333.776,334.810,retreat,parry
left,334.810,336.478,advance,none
right,334.810,336.478,retreat,none
left,336.478,337.411,advance,extension
right,336.478,337.411,advance,extension
left,337.411,339.040,walking,none
right,337.411,339.040,walking,none
left,374.150,377.826,neutral,none
right,374.150,377.826,neutral,none
left,378.459,379.259,neutral,parry
right,378.459,379.259,lunge,extension
left,379.259,379.859,neutral,extension
right,379.259,379.859,retreat,parry
left,380.693,381.427,retreat,extension
right,380.693,381.427,lunge,extension
left,381.427,385.520,walking,none
right,381.427,385.520,walking,none
left,391.619,393.216,neutral,none
right,391.619,393.216,neutral,none
left,393.749,394.584,retreat,parry
right,393.749,394.584,lunge,extension
left,394.584,396.218,advance,none
right,394.584,396.218,retreat,extension
left,396.218,397.052,lunge,extension
right,396.218,397.052,retreat,extension
left,397.052,400.929,walking,none
right,397.052,400.929,walking,none
left,406.910,415.323,walking,none
right,406.910,415.323,walking,none
left,418.063,422.060,neutral,none
right,418.063,422.060,neutral,none
left,422.822,423.689,lunge,none
right,422.822,423.689,lunge,none
left,423.689,426.183,walking,none
right,423.689,426.183,walking,none
left,433.560,434.294,lunge,none
right,433.560,434.294,lunge,extension
left,434.294,437.076,walking,none
right,434.294,437.076,walking,none
left,470.260,477.330,neutral,none
right,470.260,477.330,neutral,none
left,478.443,483.386,advance,none
right,478.443,483.386,retreat,none
left,483.386,483.819,lunge,extension
right,483.386,483.819,retreat,extension
left,483.819,486.706,walking,none
right,483.819,486.706,walking,none
left,498.220,500.222,advance,none
right,498.220,500.222,retreat,extension
left,500.222,503.956,advance,none
right,500.222,503.956,retreat,none
left,503.956,504.589,advance,parry
right,503.956,504.589,lunge,extension
left,519.470,521.010,neutral,none
right,519.470,521.010,neutral,none
left,523.379,526.263,retreat,none
right,523.379,526.263,advance,none
left,526.263,527.330,retreat,parry
right,526.263,527.330,lunge,extension
left,528.780,533.190,advance,none
right,528.780,533.190,retreat,extension
left,534.090,534.757,lunge,extension
right,534.090,534.757,retreat,parry
left,534.757,538.433,walking,none
right,534.757,538.433,walking,none
left,543.376,544.210,lunge,extension
right,543.376,544.210,lunge,extension
left,544.210,547.470,walking,none
right,544.210,547.470,walking,none
left,581.350,585.550,walking,none
right,581.350,585.550,walking,none
left,590.963,593.565,neutral,parry
right,590.963,593.565,lunge,none
left,603.540,604.741,retreat,parry
right,603.540,604.741,lunge,extension
left,604.741,608.273,advance,none
right,604.741,608.273,retreat,none
left,608.273,609.307,lunge,extension
right,608.273,609.307,retreat,none
left,626.719,627.419,lunge,extension
right,626.719,627.419,advance,parry
left,635.950,637.718,neutral,none
right,635.950,637.718,neutral,none
left,639.252,642.460,advance,none
right,639.252,642.460,retreat,extension
left,643.527,644.528,neutral,extension
right,643.527,644.528,lunge,extension
left,644.528,648.672,walking,none
right,644.528,648.672,walking,none
left,653.287,656.250,neutral,none
right,653.287,656.250,neutral,none
left,657.017,662.660,retreat,none
right,657.017,662.660,advance,none
left,662.660,668.010,neutral,none
right,662.660,668.010,neutral,none
left,668.010,670.603,walking,none
right,668.010,670.603,walking,none
left,729.610,736.190,walking,none
right,729.610,736.190,walking,none
left,741.580,744.650,neutral,none
right,741.580,744.650,neutral,none
left,745.751,749.788,advance,none
right,745.751,749.788,retreat,extension
left,749.788,752.323,advance,none
right,749.788,752.323,retreat,none
left,752.323,753.191,lunge,extension
right,752.323,753.191,neutral,parry
left,754.192,756.416,walking,none
right,754.192,756.416,walking,none
left,801.570,808.920,walking,none
right,801.570,808.920,neutral,none
left,808.920,812.350,neutral,none
right,808.920,812.350,neutral,none
left,813.617,819.149,advance,none
right,813.617,819.149,retreat,none
left,819.149,820.183,lunge,extension
right,819.149,820.183,retreat,parry
left,820.183,824.573,retreat,none
right,820.183,824.573,advance,none
left,824.573,825.540,lunge,extension
right,824.573,825.540,advance,none
left,825.540,831.530,walking,none
right,825.540,831.530,walking,none
left,843.640,847.563,retreat,none
right,843.640,847.563,advance,none
left,847.563,848.530,retreat,parry
right,847.563,848.530,lunge,extension
left,854.093,855.394,neutral,parry
right,854.093,855.394,lunge,extension
left,855.394,863.240,walking,none
right,855.394,863.240,walking,none
left,865.177,865.844,neutral,none
right,865.177,865.844,lunge,none
left,875.364,876.231,advance,parry
right,875.364,876.231,lunge,extension
left,876.231,882.187,advance,none
right,876.231,882.187,retreat,none
left,882.187,882.921,advance,parry
right,882.187,882.921,neutral,extension
left,884.422,886.936,retreat,none
right,884.422,886.936,advance,none
left,886.936,887.870,retreat,parry
right,886.936,887.870,advance,extension
left,887.870,889.506,advance,none
right,887.870,889.506,retreat,none
left,889.506,890.540,lunge,extension
right,889.506,890.540,retreat,extension
left,890.540,892.603,walking,none
right,890.540,892.603,walking,none
left,901.233,904.640,retreat,none
right,901.233,904.640,advance,none
left,904.640,905.607,retreat,parry
right,904.640,905.607,lunge,none
left,912.310,917.000,neutral,none
right,912.310,917.000,neutral,none
left,917.703,918.604,lunge,extension
right,917.703,918.604,advance,none
left,918.604,928.060,walking,none
right,918.604,928.060,walking,none
left,942.900,944.650,neutral,none
right,942.900,944.650,neutral,none
left,945.017,946.017,lunge,none
right,945.017,946.017,lunge,extension
left,946.017,950.600,walking,none
right,946.017,950.600,walking,none
left,957.460,964.016,walking,none
right,957.460,964.016,walking,none
left,978.216,981.453,retreat,none
right,978.216,981.453,advance,none
left,981.453,982.353,retreat,parry
right,981.453,982.353,lunge,extension
left,998.830,1005.340,walking,none
right,998.830,1005.340,walking,none
