# Ground-truth interval labels for data/raw_video/6.mp4. Aaron, 2026-08-16.
# 1920x1080 @ 29.97 fps, 10.7 min -- same broadcast format as bouts 1-5.
# Two-track schema; `walk` -> walking, `arm ext` -> extension.
# Two source slips, corrected here: end `0629.135` read as `06:29.135`,
# and the riposte at 00:56.200 read as starting 00:56.833 where the
# attack it answers ends -- the only reading that leaves no overlap.
fencer,start,end,footwork,blade
left,129.800,130.400,advance,extension
right,129.800,130.400,retreat,extension
left,142.500,148.200,walking,none
right,142.500,148.200,walking,none
left,148.200,150.368,neutral,none
right,148.200,150.368,neutral,none
left,150.368,151.601,advance,none
right,150.368,151.601,advance,none
left,151.601,152.736,lunge,extension
right,151.601,152.736,advance,none
left,152.736,157.480,walking,none
right,152.736,157.480,walking,none
left,165.934,166.668,lunge,extension
right,165.934,166.668,advance,none
left,166.668,170.500,walking,none
right,166.668,170.500,walking,none
left,178.500,180.268,neutral,none
right,178.500,180.268,neutral,none
left,180.268,181.269,advance,none
right,180.268,181.269,advance,none
left,181.269,184.772,advance,none
right,181.269,184.772,retreat,none
left,184.772,190.956,walking,none
right,184.772,190.956,walking,none
left,190.956,191.756,advance,none
right,190.956,191.756,advance,none
left,191.756,192.156,lunge,extension
right,191.756,192.156,advance,none
left,192.156,192.556,neutral,parry
right,192.156,192.556,lunge,extension
left,198.900,201.766,neutral,none
right,198.900,201.766,neutral,none
left,201.766,203.000,advance,none
right,201.766,203.000,advance,none
left,203.000,204.234,retreat,extension
right,203.000,204.234,advance,extension
left,204.234,209.099,walking,none
right,204.234,209.099,walking,none
left,214.633,216.900,neutral,none
right,214.633,216.900,neutral,none
left,216.900,218.134,advance,none
right,216.900,218.134,advance,none
left,218.667,219.901,lunge,extension
right,218.667,219.901,retreat,none
left,221.669,222.269,lunge,extension
right,221.669,222.269,retreat,none
left,223.403,225.003,retreat,none
right,223.403,225.003,advance,none
left,225.003,225.636,retreat,parry
right,225.003,225.636,lunge,extension
left,225.636,226.136,advance,extension
right,225.636,226.136,neutral,parry
left,226.369,229.866,walking,none
right,226.369,229.866,walking,none
left,236.700,237.967,advance,none
right,236.700,237.967,advance,none
left,239.635,243.977,walking,none
right,239.635,243.977,walking,none
left,243.977,246.480,neutral,none
right,243.977,246.480,neutral,none
left,246.480,247.447,advance,none
right,246.480,247.447,advance,none
left,247.447,248.115,retreat,none
right,247.447,248.115,advance,none
left,248.115,250.250,advance,none
right,248.115,250.250,retreat,none
left,250.250,250.984,lunge,extension
right,250.250,250.984,neutral,parry
left,253.700,254.767,neutral,none
right,253.700,254.767,neutral,none
left,254.767,255.935,advance,none
right,254.767,255.935,advance,none
left,255.935,257.803,retreat,none
right,255.935,257.803,advance,none
left,257.803,258.704,retreat,parry
right,257.803,258.704,lunge,extension
left,265.367,265.833,retreat,parry
right,265.367,265.833,lunge,extension
left,265.833,270.499,advance,none
right,265.833,270.499,retreat,none
left,270.499,270.999,advance,parry
right,270.499,270.999,advance,extension
left,270.999,272.033,advance,extension
right,270.999,272.033,retreat,none
left,277.400,278.200,retreat,parry
right,277.400,278.200,advance,extension
left,278.200,279.600,advance,none
right,278.200,279.600,retreat,none
left,279.600,280.634,lunge,extension
right,279.600,280.634,retreat,none
left,280.634,284.167,retreat,none
right,280.634,284.167,advance,none
left,286.100,287.933,advance,none
right,286.100,287.933,advance,none
left,287.933,288.934,lunge,extension
right,287.933,288.934,retreat,none
left,290.835,291.602,lunge,extension
right,290.835,291.602,advance,none
left,308.233,309.435,advance,none
right,308.233,309.435,advance,none
left,309.435,310.902,retreat,none
right,309.435,310.902,advance,none
left,310.902,311.602,advance,none
right,310.902,311.602,advance,none
left,311.602,316.366,walking,none
right,311.602,316.366,walking,none
left,322.500,323.367,advance,none
right,322.500,323.367,advance,none
left,323.367,328.899,advance,none
right,323.367,328.899,retreat,none
left,328.899,331.533,retreat,none
right,328.899,331.533,advance,none
left,331.533,332.133,retreat,parry
right,331.533,332.133,lunge,extension
left,332.133,332.700,neutral,extension
right,332.133,332.700,neutral,parry
left,332.700,335.669,retreat,none
right,332.700,335.669,advance,none
left,335.669,336.469,advance,none
right,335.669,336.469,lunge,extension
left,346.399,347.834,advance,none
right,346.399,347.834,advance,none
left,348.034,348.734,retreat,parry
right,348.034,348.734,lunge,extension
left,348.734,353.366,advance,none
right,348.734,353.366,retreat,none
left,353.366,354.668,advance,parry
right,353.366,354.668,advance,none
left,354.668,355.702,retreat,extension
right,354.668,355.702,advance,none
left,359.667,360.534,advance,none
right,359.667,360.534,advance,none
left,360.534,363.700,advance,none
right,360.534,363.700,retreat,none
left,363.700,364.500,lunge,extension
right,363.700,364.500,retreat,parry
left,365.567,370.833,retreat,none
right,365.567,370.833,advance,none
left,371.366,371.934,neutral,extension
right,371.366,371.934,advance,extension
left,375.567,376.635,advance,none
right,375.567,376.635,advance,none
left,376.635,382.333,retreat,none
right,376.635,382.333,advance,none
left,382.333,383.301,advance,parry
right,382.333,383.301,advance,extension
left,388.401,389.135,lunge,extension
right,388.401,389.135,advance,none
left,402.600,404.034,neutral,none
right,402.600,404.034,neutral,none
left,404.034,405.502,advance,none
right,404.034,405.502,advance,none
left,405.502,409.166,advance,none
right,405.502,409.166,retreat,none
left,409.166,410.067,lunge,extension
right,409.166,410.067,retreat,none
left,410.834,412.102,lunge,extension
right,410.834,412.102,advance,none
left,412.102,414.800,walking,none
right,412.102,414.800,walking,none
left,423.600,424.667,advance,none
right,423.600,424.667,advance,none
left,425.034,425.735,retreat,parry
right,425.034,425.735,lunge,extension
left,425.735,430.567,advance,none
right,425.735,430.567,retreat,none
left,438.100,438.767,advance,none
right,438.100,438.767,advance,none
left,438.767,439.367,advance,extension
right,438.767,439.367,retreat,parry
left,442.303,443.437,lunge,extension
right,442.303,443.437,advance,extension
left,466.833,467.567,lunge,none
right,466.833,467.567,lunge,none
left,482.733,485.833,advance,none
right,482.733,485.833,retreat,none
left,485.833,486.533,lunge,none
right,485.833,486.533,advance,extension
left,491.100,493.033,neutral,none
right,491.100,493.033,neutral,none
left,493.033,493.933,advance,none
right,493.033,493.933,advance,none
left,493.933,499.333,retreat,none
right,493.933,499.333,advance,none
left,499.333,500.233,retreat,parry
right,499.333,500.233,lunge,extension
left,500.600,504.133,advance,none
right,500.600,504.133,retreat,none
left,504.133,504.600,advance,none
right,504.133,504.600,advance,extension
left,504.600,505.067,advance,extension
right,504.600,505.067,retreat,parry
left,522.768,523.335,retreat,none
right,522.768,523.335,lunge,extension
left,526.633,527.301,retreat,parry
right,526.633,527.301,lunge,extension
left,527.301,527.834,lunge,extension
right,527.301,527.834,retreat,none
left,529.402,530.799,retreat,none
right,529.402,530.799,advance,none
left,530.799,531.500,retreat,parry
right,530.799,531.500,lunge,extension
left,531.500,537.572,advance,none
right,531.500,537.572,retreat,none
left,537.572,538.506,advance,extension
right,537.572,538.506,advance,parry
left,549.866,550.900,retreat,none
right,549.866,550.900,advance,none
left,550.900,555.733,advance,none
right,550.900,555.733,retreat,none
left,565.766,566.466,neutral,extension
right,565.766,566.466,advance,extension
left,572.666,573.400,advance,parry
right,572.666,573.400,lunge,extension
left,573.400,573.767,advance,none
right,573.400,573.767,retreat,extension
left,582.899,583.734,retreat,parry
right,582.899,583.734,lunge,extension
left,586.303,586.970,advance,extension
right,586.303,586.970,retreat,parry
left,594.200,594.900,lunge,extension
right,594.200,594.900,advance,parry
left,604.934,605.534,retreat,parry
right,604.934,605.534,lunge,extension
left,612.733,613.301,retreat,parry
right,612.733,613.301,lunge,extension
left,613.301,618.400,advance,none
right,613.301,618.400,retreat,none
left,618.400,619.467,lunge,extension
right,618.400,619.467,advance,extension
